__sequenceid,ttl,ttl_option,disabled,auto_created,shared_record,creator,zone,name,dname,reversed_dname,display_name
1,3600,1,false,true,false,SYSTEM,._default.arpa.in-addr.127.0.0,,cluster,._default.cluster,
2,3600,1,false,true,false,SYSTEM,._default.arpa.ip6.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1,,cluster,._default.cluster,
3,,0,false,true,false,SYSTEM,._default.group.patec,,fe0vm02913.patec.group,._default.group.patec.fe0vm02913,
778,,0,false,true,true,SYSTEM,.srg_root.1,,bng-ddi-000.patec.group,.srg_root.group.patec.bng-ddi-000,
922,,0,false,true,true,SYSTEM,.srg_root.1,,wa2-ddi-003.patec.group,.srg_root.group.patec.wa2-ddi-003,
79292,,0,false,true,true,SYSTEM,.srg_root.1,,hz2-ddi-000.patec.group,.srg_root.group.patec.hz2-ddi-000,
79305,,0,false,true,true,SYSTEM,.srg_root.2,,wa2-ddi-003.patec.group,.srg_root.group.patec.wa2-ddi-003,
79306,,0,false,true,true,SYSTEM,.srg_root.2,,bng-ddi-000.patec.group,.srg_root.group.patec.bng-ddi-000,
79307,,0,false,true,true,SYSTEM,.srg_root.2,,hz2-ddi-000.patec.group,.srg_root.group.patec.hz2-ddi-000,
79678,,0,false,true,true,SYSTEM,.srg_root.1,,cr-ddi-000.patec.group,.srg_root.group.patec.cr-ddi-000,
204431,,0,false,true,true,SYSTEM,.srg_root.1,,mus2-ddi-000.patec.group,.srg_root.group.patec.mus2-ddi-000,
328345,,0,false,true,true,SYSTEM,.srg_root.1,,dcr-ddi-000.patec.group,.srg_root.group.patec.dcr-ddi-000,
13908879,,0,false,true,true,SYSTEM,.srg_root.25,,wa2-edns-001,.srg_root.wa2-edns-001,
13908880,,0,false,true,true,SYSTEM,.srg_root.25,,wa2-edns-002,.srg_root.wa2-edns-002,
13908881,,0,false,true,true,SYSTEM,.srg_root.25,,dcr-edns-001,.srg_root.dcr-edns-001,
13908882,,0,false,true,true,SYSTEM,.srg_root.25,,dcr-edns-002,.srg_root.dcr-edns-002,
13908883,,0,false,true,true,SYSTEM,.srg_root.25,,mus2-edns-001,.srg_root.mus2-edns-001,
13908884,,0,false,true,true,SYSTEM,.srg_root.25,,mus2-edns-002,.srg_root.mus2-edns-002,
13908885,,0,false,true,true,SYSTEM,.srg_root.25,,hz2-edns-001,.srg_root.hz2-edns-001,
13908886,,0,false,true,true,SYSTEM,.srg_root.25,,hz2-edns-002,.srg_root.hz2-edns-002,
13908887,,0,false,true,true,SYSTEM,.srg_root.25,,vra-edns-001,.srg_root.vra-edns-001,
13908888,,0,false,true,true,SYSTEM,.srg_root.25,,vra-edns-002,.srg_root.vra-edns-002,
14131451,3600,1,false,true,false,SYSTEM,.14.arpa.in-addr.127.0.0,,cluster,.14.cluster,
14131454,3600,1,false,true,false,SYSTEM,.14.arpa.ip6.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1,,cluster,.14.cluster,
15267413,3600,1,false,true,false,SYSTEM,.15.arpa.in-addr.127.0.0,,cluster,.15.cluster,
15267416,3600,1,false,true,false,SYSTEM,.15.arpa.ip6.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1,,cluster,.15.cluster,
21428213,,0,false,true,false,SYSTEM,.14.local,sandved,localhost,.14.localhost,sandved
102464809,,0,false,true,false,SYSTEM,._default.local,wa2isl10,wa2isl10.local,._default.local.wa2isl10,wa2isl10
